header,author,date,place,content,aircraft,traveller_type,seat_type,route,date_flown,recommended,trip_verified,rating,seat_comfort,cabin_staff_service,food_beverages,ground_service,value_for_money,entertainment,wifi
used to enjoy the service,S Richards,2018-04-06,United States,"I have been flying on Etihad for the last five years. I used to enjoy the service that Etihad provided. However, on Tuesday March 20th, I found out my flight from Abu Dhabi to Los Angeles was overbooked when I arrived at the airport, and I was forced off of the flight I had purchased months before. Typically, airline companies will ask for volunteers to take another flight. In this case I had no choice in the matter. Secondly, airline companies will usually re-book customers on comparable flights. In this case I was re-booked on a connecting flight even though my purchase was on a non-stop to Los Angeles with minimal compensation. When I emailed Etihad’s customer service, their response was that they would do nothing more than what they already had “in the event of denied boarding.” If Etihad feels that denying people who have purchased tickets is their right, I will no longer be flying with them.",,Solo Leisure,Economy Class,Abu Dhabi to Los Angeles,March 2018,no,Verified,1,1.0,1.0,,1.0,1,,
Etihad Airways customer review,Karen Lewis,2018-04-06,Australia,Sydney to Abu Dhabi. Excellent from beginning to end. Seats  spacious with lots if room. Flight staff were  incredible and could not do enough. In-flight entertainment was good and the food lovely. You can now adjust the hardness of your seat which is great when turning it into a flatbed.,,Couple Leisure,Business Class,Sydney to Abu Dhabi,March 2018,yes,Verified,10,5.0,5.0,5.0,5.0,5,5.0,4.0
seat was extremely hard,B Lewis,2018-03-27,United Kingdom,"Over-rated and disappointing. I routinely fly business class and have flown business class on Etihad on many occasions but this flight from Melbourne to Abu Dhabi was the worst ever. Dreamliner does not accurately describe the aircraft and the cabin crew seemed less than enthused to be on board. The seat was extremely hard and very uncomfortable, although there are apparently features which should allow a passenger to change the softness/lumbar support etc they failed to make any difference. Previous flights on other aircraft have been better thanks to passengers having the ability to alter cushioning etc to suit. The ergonomics for using the seating area are not good. Tray table extends sideways from the console and cannot be moved back or forward, you have to move your seat to gain access to the table, touch screen tv or handset. Etihad has also downgraded the service, no decent amenity pack, no mattress, no pyjamas and food listed in the menu was not available even immediately after take off. The reduction in cabin noise was minimal in my opinion and the cabin was rather cold throughout the 14hour journey. Cabin crew did ask when I wanted to eat but ignored my request to wait for two plus hours and my meal was presented shortly after take off! I have indicated that I would recommend Etihad because of numerous previous journeys but although I have been happy with Etihad in the past I’m no longer convinced that the passenger continues to be considered as important and am not sure that Etihad will be my airline of choice in future.",Dreamliner,Couple Leisure,First Class,Melbourne to Abu Dhabi,March 2018,yes,Verified,3,1.0,2.0,2.0,2.0,2,2.0,
been going down hill quick,David Kuo,2018-03-27,United States,"Shanghai to Dammam via Abu Dhabi. I have been flying Etihad for move than 5 years now (reaching gold and platinum status) and the service have been going down hill quick. I have three upgrades which I paid for and yet the system does not recognize this and does not credit me any miles (zero miles). I been calling Etihad and emailing them since January and even until today (end of March) there has been no resolution, just the run around and telling me to wait. Why does it take so long to credit miles to an account, the flight is already in my account but displaying zero miles. Poor service and poor management within Etihad. The flight attendants are rude and poorly managed. On one particular flight there was three Eastern European flight attendants who were best friends and spent most of their time in the galley chatting. So avoid the first and last row in business class due to this noise or just avoid Etihad all together.",A340,Business,Business Class,Shanghai to Dammam via Abu Dhabi,December 2017,no,Verified,1,1.0,1.0,1.0,1.0,1,2.0,1.0
very mean with the drinks,W Steane,2018-03-25,United Kingdom,"Bangkok to Manchester via Abu Dhabi. Never again! On all 4 flights we found the staff to be unfriendly and ignorant. Upon asking the stewardess if she could find a seat next to my partner (which we had been assured was sorted on checking in), she just said “ flight is full”. They are very mean with the drinks, no miniature bottles, just a bottle on the trolley which was sparingly measured (I got nasty looks when I asked for a “ large” one) unlike Emirates who were very obliging with anything you requested. Toilets and aircraft overall seemed grubby. There were no menus to check what was on offer and what was on offer inedible unless you were starving due to queuing for hours to check in (even after online check in). The in flight entertainment was very poor compared to Emirates, mostly geared towards Arabic travellers, esp the music. Very limited selection of films and the “news” was about Etihad,  what a joke! Feel sorry for those who payed top whack for their ticket.",777-30,Couple Leisure,Economy Class,Bangkok to Manchester via Abu Dhabi,March 2018,no,Verified,3,1.0,1.0,1.0,3.0,1,1.0,1.0
an excellent experience,Kevin Cosgrove,2018-03-23,Ireland,"Flew Etihad on a business trip to Australia in March. All in all an excellent experience from start to finish. Got an upgrade on the AUH to SYD (A380) leg which was an amazing experience. Cabin crew on all flights were excellent, attention to detail is great and they were really engaged. The free style dining service on Etihad Business and First really works as your body clock can differ on each flight. Abu Dhabi airport is a bit dated, the new airport will be very welcome when open next year. Excellent experience!",A330 & A380,Business,Business Class,Dublin to Sydney,March 2018,yes,Verified,10,5.0,5.0,5.0,4.0,5,4.0,4.0
why unfriendly cabin crew,Hans Fiedler,2018-03-15,Germany,"Frankfurt to Colombo via Abu Dhabi (B787 and A320), returning Colombo to Rome via Abu Dhabi (A320 and A330-200) with Etihad. Food was excellent, design, easy check-in through the app and good information in general. Clean aircraft, nicely equipped. In-flight entertainment had its bugs, had to restart it a couple of times during the flight. So everything quite good, but why do you seem to have only unfriendly cabin crew members? On each of the four flights the stuff seemed to be annoyed right from the beginning of the flight; only their grumpy faces made our flights less enjoyable!",Boeing 787 / A320 / A330-200,Solo Leisure,Economy Class,Frankfurt to Colombo via Abu Dhabi,March 2018,yes,Verified,7,5.0,2.0,4.0,5.0,5,3.0,1.0
the return flight was terrible,W Lane,2018-03-15,United States,"We were flying Washington DC to Bangkok return via Abu Dhabi. The first flights to Bangkok everything was smooth and perfect then the last leg of the return flight was terrible! We had paid for extra leg room seats as it said on the check in and when we boarded the plane we were sat in regular seats. The flight attendant told us that we paid to sit closer to the front of the plane - I explained to her multiple times that, that’s not what it said on the website but I  will take it up with customer service because obviously she couldn’t do anything about it. Once getting back to DC I called the Etihad customer service and was put on hold for 20 mins - when someone finally picked up the phone she was extremely rude! Was no help and then once i asked for a manager she said there wasn’t one. She referred me to an email address and hang up. So I send the email and still get no response! Today i call the airline back and get somebody else who also tells me there is no manager and that the lady gave me the wrong email. And there is nothing he can do.",,Couple Leisure,Economy Class,Bangkok to Washington via Abu Dhabi,March 2018,no,Verified,2,1.0,2.0,3.0,1.0,3,3.0,
Cost cutting evident,H Simpson,2018-03-13,United Arab Emirates,"Flew Bangkok to Abu Dhabi. Pot luck with a successful low bid for an upgrade. Check in slowed by difficult passengers intent on shipping luggage far in excess of their allowance with consequential prolonged debate with the local agent. Etihad use a generic lounge at Bangkok which is adequate and no more. Early boarding so ample time to settle into my seat and a prompt departure. Although only six years old the more traditional seating arrangements on the 777 appear dated compared to the 787s, for example, but actually to my personal preference, more private and ample room to stretch out. Cost cutting evident, no amenity kits distributed with only basic eye-pad / ear plugs / flight socks available on request. Food and drink menu limited compared to what was available in the past - no offer of food on demand, the vegetarian fettuccine dry and tasteless. Staff attentive though not proactive with the distribution of water or other soft drinks during the flight. Entertained myself watching live English football and an early James Bond film. No free wifi. On time arrival on an air bridge at Abu Dhabi, which is exceptionally rare for Etihad. Unfortunately a one hour delay recovering baggage due to, as I subsequently discovered, intervention by Customs. Beyond Etihad's control but I was not the only business class customer left scratching their heads as to why their baggage had failed to appear. A little information smooths the feathers.",Boeing 777W,Solo Leisure,Business Class,Bangkok to Abu Dhabi,March 2018,yes,Verified,7,5.0,4.0,3.0,3.0,5,4.0,3.0
but never again Etihad,S Malani,2018-03-12,Switzerland,"Kuala Lumpur to Zurich via Abu Dhabi. From Abu Dhabi the aircraft changed in last minute and everyone was given a new seat number. No chance to get your seat. Staff not friendly. I asked ground staff, at the gate and in the airplane. No one really cares about. Always giving standard response to get you away. Was expecting more, but never again Etihad. Flight and baggage delayed. I read the other reviews before ordering and thought people exaggerate. But so many reviews are saying the same.",,Solo Leisure,Economy Class,Kuala Lumpur to Zurich via Abu Dhabi,March 2018,no,Verified,3,3.0,1.0,4.0,1.0,3,2.0,1.0
never have such experience,Loganathan Ramasamy,2018-03-11,United Kingdom,"Chennai to London via Abu Dhabi. I waited 3 hours but end of the time need to run. Checkin counter they open only 4 or 5. Customs very long line take more then 30 minutes in small airport. They did not allocate right seats we are in 12 row, they want to shift to 9 row because it’s emergency exit, saying they offered free today otherwise if cost.  I never have such experience.",,Solo Leisure,Economy Class,Chennai to London via Abu Dhabi,March 2018,no,Verified,3,4.0,2.0,3.0,1.0,2,3.0,
service has become indescribable,V Gujat,2018-03-10,United States,"Dallas Ft Worth to Abu Dhabi. My wife travelled via Etihad Airways on 7th March, connecting on Jet Airways to Pune. She had the worst airline experience ever. Airport Staff was not cooperating at all. She wanted to upgrade her flight to Business class but they didn't care for that. There was a single toilet in each section and a was a huge line in front of each rest room. It was taking almost an hour to get your number. Food was pathetic.  After asking many times, they were giving water and less than half a glass. She was thirsty and hungry 15-16 hour flight Overall, looks like this airline is going through patch and its ""service has become indescribable"". Avoid using this flight as much as possible.",,Solo Leisure,Economy Class,Dallas Ft Worth to Abu Dhabi,March 2018,no,Verified,1,1.0,1.0,1.0,1.0,1,,
serious cost cutting at this airline,G Mealen,2018-03-08,Australia,"Sydney to Munich via Abu Dhabi. No chauffeur service except in Abu Dhabi or generally have first class facilities at many airports. The first class seating is  good although the narrow beds are desperately hard. Food has never been at the best standard despite great efforts by many of the crew. First class check-in at Sydney Airport was shared with economy passengers the reason given that there was only one first class passenger. In reality there were several upgrades. The lounge is shared with business class and is underwhelming. Service was poor. Upon requesting assistance to the aircraft I was advised as I was not a Residence passenger no assistance would be available. The person was close to being abusive. In flight crew were helpful and polite on both legs. At Munich Airport a car which had been ordered failed to turn up and a circus like series of telephone calls commenced. The airport bus proved more reliable. There are all the signs of serious cost cutting at this airline at every level and premium passengers are paying the price for seriously flawed management decisions made in the past. The ground staff at Munich have been wonderful, at least those working for the airline. There have been many forced redundancies and sadly some who have left were the competent and service oriented professionals at different locations. London staff are particularly unhelpful. The airline is clearly not interested in maintaining high level service. After perhaps fifty flights in the front section one has to wonder if it is worth the loyalty.",A380,Solo Leisure,First Class,Sydney to Munich via Abu Dhabi,January 2018,no,Verified,7,4.0,4.0,3.0,1.0,3,2.0,
crew members friendly and helpful,V Shejayuma,2018-03-05,Netherlands,Had a nice experience with Etihad on my last trip from Abu Dhabi to Amsterdam. We were travelling with our baby and the front row seats with bassinet was a big help. The crew members were also friendly and helpful. Food was decent. We were happy that the overall flying experience with Etihad has improved from last year.,Boeing 787,Family Leisure,Economy Class,Abu Dhabi to Amsterdam,February 2018,yes,Verified,9,5.0,5.0,4.0,4.0,5,4.0,
disorganised and unprofessional,Samar Qazi,2018-03-03,Australia,"Perth to Peshawar via Abu Dhabi. Etihad Airways delayed its flight from Perth to Abu Dhabi for 7 hours due to a technical issue with the plane and finally took us to Abu Dhabi via Colombo, where we stayed for another 1.5 hours. Upon reaching Abu Dhabi, I was given a hotel room for 12 hours for a layover of 17 and a half hours as I had missed my connecting flight and my new flight was arranged via Bahrain with a layover of another 7.5 hours and no arrangement for hotel or meal vouchers. My original flight was supposed to take 17 hours to the final destination and I got there in 41 hours. Most disorganised and unprofessional as far as customer experience goes. Will never fly with them again.",,Family Leisure,Economy Class,Perth to Peshawar via Abu Dhabi,February 2018,no,Verified,2,1.0,3.0,2.0,1.0,1,1.0,
I was really disappointed,Ghada Al Sahoury,2018-03-01,United Arab Emirates,"Rome to Abu Dhabi. I am a gold member of Etihad Guest card, and Government Traveler. I flew with Etihad last month from florence to Abu Dhabi and I was flying Business Class. My first comment was on the food as the quality dropped big time. The second and main comment was regarding customer service and how Etihad Baggage claim center handled my claim of lost luggage. The luggage was missing with no tracing for 10 days, and I was trying to call claim center with no luck. I sent emails but the response was not up to the expectation. Finally, after 10 days I received a call from the driver who is delivering my bag with no previous communication and during my working hours. I was really disappointed from the way that Etihad Airways handled this case. I sent them an email last month and till now no one responded back to me nor call me to make sure that I received my bag or if anything is missing. I really hope that this review can reach Etihad so they can pay more attention to these details as they are my favourite airlines till this moment.",,Business,Business Class,Rome to Abu Dhabi,January 2018,yes,Verified,7,3.0,3.0,2.0,3.0,4,4.0,4.0
probably wouldn't fly with them again,Lavina Liyanage,2018-02-25,United Kingdom,"Using Etihad Airways for the first time despite travelling between Colombo and London and Asia in general often.  I was very disappointed, seat space seems smaller but my husband had no leg space. He's 6ft and so is used to be restricted but this seemed much less than Emirates or Singapore Airlines, I ordered a low lactose meal and was given vegetarian which was just cheesy vegetables. I explained that cheese is lactose and was told I should order the right meal. I told them I had but they had the wrong one, which they were very nice about but strange they didn't think of this before and instead assumed I made the mistake. I ended up getting a vegan meal which was fine. Also they ran out of diet coke at the first beverage service before they reached us. Not the end of the world but quite random seeing as we were 20mins into the flight and surely not a surprise that diet coke is quite popular? A sign of poor preparation. Flight from Abu Dhabi to Colombo seemed to be a very old aircraft but was fine. Entertainment options good but you cant start using it till after the flight has taken off. FYI all films are censored. Also you have to pay a lot extra for everything, extra leg room was £200 for one leg of the trip (4 legs in total- London to Abu Dhabi and Abu Dhabi to Colombo and return). It seems a bit of a budget pricing model. All round super average and not better than Emirates, Singapore Airlines, Qatar Airways or even BA (I know!). I probably wouldn't fly with them again.",,Couple Leisure,Economy Class,London to Colombo via Abu Dhabi,February 2018,no,Verified,6,3.0,4.0,2.0,3.0,3,4.0,
I could rate many budget airlines better,N Ball,2018-02-24,United Arab Emirates,"Sydney to Abu Dhabi. Etihad was once perhaps the best airline in terms of service, value, food, in-flight services, and miles program. After years of loyal service with Etihad, I can honestly say they all of these once great features have become degraded to the point where I could rate many budget airlines better in every feature than that of Etihad. Only recently I had an issue whereby they increased the amount of guest miles required to make bookings to most destinations, and this happened to occur whilst I was making two online bookings, and happened a day earlier than it should have. After many back and forth emails and calls to Etihad, the outcome was that I was to blame, and that I made up the story to try and gain extra miles. They robbed me of 45000 hard earned miles and refuse to acknowledge any fault from their system or at the very least come up with a resolution or compromise. And I am apparently a loyal Gold customer and also a government employee, where we are given privilege treatment. I can only imagine how a ""regular"" customer would have been treated. This is only one of many issues I have faced as their services decline along with their money hungry cost cutting approach to virtually all aspects of their business. It is a real shame. Sadly they assume that customers do not see through their ways, but I can see from the ample bad reviews that customers are not at all happy with Etihad. Perhaps it is time they listened to their loyalty base. I for one will be choosing alternate airline wherever possible - there are many cheaper airlines which have better services now than Etihad.",A380,Solo Leisure,Economy Class,Sydney to Abu Dhabi,January 2018,no,Verified,3,3.0,3.0,1.0,2.0,1,1.0,1.0
say no to Etihad next time,Alexandra Kochetkova,2018-02-18,Russian Federation,"Moscow to Colombo via Abu Dhabi. I flew by Etihad a few years ago and it was good last time. I'm pregnant now and we decided to choose Etihad this time because trusted them. But, it was useless.  Etihad has no special offers for pregnant women. You can't get or buy special seat with additional space for legs. Cause the problem with mobile version of Etihad site I didn't register the second flight by myself and we must to got boarding passes in airport. We was one of first people in the line. The girl on registration desk saw with attention my documents about pregnancy and gave us seats no. 8. This line located in front on evacuation exit. It means the back doesn't turn down. We knew it just in plane, unfortunately. To be pregnant and seating during 4 hours in one pose impossible! Our return flight has a 18 hours transit on Abu Dhabi. We ask about opportunity to get free hotel. And answer was no.  Can we pay for the room? The answer was no. We will say no to Etihad next time, like they answered to us.",,Couple Leisure,Economy Class,Moscow to Colombo via Abu Dhabi,February 2018,no,Verified,2,1.0,1.0,1.0,1.0,4,4.0,
Very irresponsible airline,E Bimas,2018-02-16,Australia,"Tehran to Sydney via Abu Dhabi. Very frustrated from their customer service.  They closed their offices in Iran and don't operate in that country anymore. My mum bought her ticket through them before they close their offices. They moved her ticket to Emirates and My mum needs to change her return ticket and fly soon due to her mum being sick. I called them and they refused to change her ticket because it's been changed once. I kept explaining her ticket changed by force because Etihad forced her to change the airline only. Date of the flight was the same but they refused it again. Now my mum needs to buy a new ticket and lose $2000. Very irresponsible airline. Its not passenger fault that you guys don't work in that country any more, you should take responsibility for that",,Family Leisure,Economy Class,Tehran to Sydney via Abu Dhabi,December 2017,no,Verified,1,1.0,1.0,,1.0,1,,
The service was awful,T Huang,2018-02-15,United Kingdom,"Manchester to Ho Chi Minh City via Abu Dhabi. The service was awful from start to finish. Check in staff were not polite, staff on the plane rude and overall very disappointing. I needed to change my return flight and the customer service were no different. I was offered £260 to change the flight which is extortionate. I have flown with Emirates previously and had no problems changing for £100. I needed to make sure that my partner could pick me up from my destination so i had to hang up and call again the following day. I had no choice but to pay for the change. I then proceeded to call the customer services again the following day and they said that the cost is now £357. It was explained that the £260 was a special price on the day. With no choice I had to proceed. The plane was dated and overall staff made the journey the worst flight I have ever experienced.",,Solo Leisure,Economy Class,Manchester to Ho Chi Minh City via Abu Dhabi,January 2018,no,Verified,1,1.0,1.0,1.0,1.0,1,1.0,1.0
found  business class to be very good,Paul Chandler,2018-02-14,United Kingdom,"London to Manila via Abu Dhabi. Checked in for the flight at Heathrow - am Etihad silver so can use the Business class desk to check in etc. Had a good chat to the lady who once she saw I was going to Manila was interested. Collected by boarding passes for the 2 outbound legs and headed to departure area. I was sat in boarding zone 5 so lot of people in gate area. Handed pass to be scanned and was pulled to one side and given a new boarding pass having been given an upgrade to business class which was a very nice surprise. Boarded via the upper jetway, warmly welcomed by cabin crew and took my seat. Had a glass of orange juice and made my food choice from the menu. The whole upper deck on Etihad A380 is premium seating and was very comfortable. 4 seats across in 1-2-1 arrangement however some seats are rearward facing. Seat was comfy and converted into a lie flat bed. Seat has a lift up space for anything loose you might have ie phone or book etc. Large touch screen with side control for the inflight entertainment system. After take off more drinks were served and food service began. You can specify a time to eat on the menu as well. Crew member prepared the table for my meal which I thought was delicious. After clearing away the meal service I settle down to watch a film or 2. Choice is good and operation of the system is quite straightforward. The external cameras on the A380 are a nice touch. Flight departed on time and arrived on schedule and after clearing security made my way to my next flight. Abu-Dhabi to Manila is a Boeing 777 which was looking a little tired inside (12 years old) and I was back in economy. Still a good flight with reasonable food and good cabin crew. Managed to sleep. Flight on time Manila - Abu dhabi flight was the same Boeing 777 and again the food was fine and crew attentive. Flight on time Abu dhabi to London - again on Airbus A380 and was upgraded to business class again. Flight was very good. Food was excellent. Choices were made from the menu before departure. The only minor snag I had was that my seat would not convert to lie flat bed. Cabin crew were able to resolve quickly. Overall I found the business class experience to be very good and would recommend to anyone.",A380 / Boeing 777,Solo Leisure,Economy Class,London to Manila via Abu Dhabi,December 2017,yes,Verified,9,4.0,5.0,5.0,5.0,5,4.0,
shocked by the service,Bochud Florian,2018-02-13,Norway,"On 13th December, we had a flight Oslo to Cochin via Amsterdam and Abu Dhabi. Our flight to Amsterdam was delayed with more than 2 hours, so that we missed our flight to Abu Dhabi. Etihad a great job to find us a new flight via Munich to Cochi via Delhi the day after and found us an hotel for the night.  However, our luggage were missing in Delhi (we had to pass them through custom) and we had to spend numerous filling forms. Arrived in Cochin, we expected to get our luggage the day after, but it didn't went like this. We had to Call numerous time to Etihad, Delhi / Munich / Amsterdam airport to try to find our luggage. Nobody seemed to know where there were. Finally Wednesday the 20th of December, almost one week later, we got our luggage back.  The problem were not finished. The day of our return flight, 3rd January, we were informed at the airport that our return flight Cochin-Abu Dhabi-Amsterdam-Oslo was cancelled, because we weren't on the flight on the way to India. I was standing there early 2am in the morning with my 2 children in the airport, the Etihad staff telling me that we had no way to come back to Oslo before one week later, since all flights in the following days were fully booked. In addition, I was supposed to pay for the return flight myself. I had to book a new flight with another company and got back to Oslo 36 hours later (!), with exhausted kid, and shocked by the service Etihad airways gave us.",,Family Leisure,Economy Class,Oslo to Cochin via Amsterdam / Abu Dhabi,December 2017,no,Verified,1,,,,1.0,1,,
disappointed with the attitude,Ho Thao Nguyen,2018-02-13,Germany,"Dusseldorf to Ho Chi Minh City via Abu Dhabi. I am really disappointed with the attitude and the way Etihad response to the customers. Firstly, the meals on the plane tasted not good. Secondly, I had to transfer at Abu Dhabi for 12 hours. Normally, by other flight branch (ex: Emirates), the customers will receive a voucher for staying in hotels or for eating. But I received nothing from Etihad. Morever, the customer service at Abu Dhabi even did not want to answer me. Okay. If you do not need customers flying with economy class like me, I will not book any flight with Etihad anymore. I will accept higher price with another flight organization and of course better service than yours.",,Solo Leisure,Economy Class,Dusseldorf to Ho Chi Minh City via Abu Dhabi,February 2018,no,Verified,3,2.0,3.0,2.0,1.0,2,1.0,1.0
lack of professionalism and customer care,G Damer,2018-02-08,United Kingdom,"We travelled from London to Manila via Abu Dhabi a few days before Christmas with a 1.5 hour stopover in Abu Dhabi. The flight from London was delayed by 1 hour which is no big deal. During the flight as we approached Abu Dhabi, we ended up circling due to bad weather. On asking the flight staff, no one was able to advise what the next steps were. We eventually landed at Abu Dhabi and were advised to go to the Transfer Desk. They told us our plane was still there and to go to the gate. We go to the gate only to be told our seats had been given away and we had been offloaded. We questioned why and they were rude in their response and told us to go to the transfer desk. Someone 'helped' us by walking us to the transfer desk. All we wanted to know was when our next flight would be, which we only found out after queuing behind a 100 people and found out that it was in 7 hours. At no point was any rest place or accomodation advised or given and we had to argue in getting food vouchers rather than being offered them. We managed to see through the next 7 hours only to be confronted with more difficulty. We queued for our connecting flight only to be told we need to check in our hand carry. We insisted we were carrying medicine which we needed to keep, at which point the attendant shouted and threatened to deboard us from the plane if we didn't comply. After much stress managed to eventually get on to the flight. We arrived in MNL and waited for 2 hours in baggage only to find out 2 out of 3 of our checked in suitcases did not make it. As a result we were unable to give gifts and presents to our relatives for Christmas plus our clothes and personal effects were missing. On questioning where are luggage was, there was no explanation and we had to wait 24hrs before they could track our baggage. Etihad eventually got our luggage to us 3 days later although frustratingly no arrangement was made to drop it. They decided to call at 3am and demanded they drop it, irrespective of how inconvenient this was. We decided to rebook our return as the issues and delays stopped us from doing some important things. We called Etihad only to be told it would cost the price of 1 full priced ticket for us both. We explained our challenges on our outward trip but no attempt was made to assist us with our return flight. When we asked them to proceed on the back of the conversation the previous day they opened our ticket (essentially cancelling our original return ticket) they went on to explain it would actually cost the price of 2 tickets rather than 1 which they had previously advised. We argued that we would have only been happy to pay for the price discussed the day before and was not happy they had misinformed us. They left us no choice but to buy new tickets at full price due to an error on their part without considering the previous problems. A lot of this could have been avoided if they looked at helping their customers. Issues happen but under no circumstances should the customers be dealt with such blatant disregard. We have been lucky enough to have travelled with Emirates, Cathay Pacific, KLM, and Singapore whose customer service has been great and unfortunately Etihad do not deserve to be held anywhere near the same level as them. Their lack of professionalism and customer care left so much to be desired. Their follow up and lack of attempt to assist frustrated and tired customers also was shocking for such a high profile company. Avoid using them!",A380,Couple Leisure,Economy Class,London to Manila via Abu Dhabi,December 2017,no,Verified,1,2.0,2.0,1.0,1.0,2,3.0,2.0
the crew handled everything well,P Harper,2018-02-06,Oman,"Muscat to Abu Dhabi return in economy. Check-in in MCT fairly swift, in AUH very slow. AUH airport was heavily overcrowded at the time of our departure. Long lines everywhere, relatively slow service, no place to sit. Both flights were full to the last seat, but the crew handled everything well. They were friendly and even managed to distribute small snacks and water on the 50-min hop. Both flights started and landed on time. The planes were a little bit older but fine. Unfortunately this route is outrageously expensive compared to other Inner-Gulf flights. Etihad and Oman Air take every advantage of the missing competition on this route.",A320,Couple Leisure,Economy Class,Muscat to Abu Dhabi,February 2018,yes,Verified,8,4.0,5.0,4.0,4.0,1,,
one of the worse flights,S Palakane,2018-02-05,United States,"Chicago to Colombo via Abu Dhabi. This is one of the worse flights I have ever taken. Very poor service followed by very little food for a 15 hour flight. They made a pretty big deal about the size of the bags I was taking as caryons. They made me put my bags in to a container and try to make me pay extra when they do not fit in. Some flight attendants were rude. There were some good people, but overall, I have had much better service before. Flight was late and almost missed my other flight at Abu Dhabi.",,Couple Leisure,Economy Class,Chicago to Colombo via Abu Dhabi,January 2018,no,Verified,3,2.0,2.0,2.0,1.0,4,2.0,
Quite a few changes,Shayne Haridas,2018-02-05,Saudi Arabia,"I have flown on Etihad on previous occasions and it had been a while since I last traveled with them. Quite a few changes since then. The seats are slightly larger than they used to be, the staff are friendlier and they have a full entertainment system for their flights to Calicut unlike the others that fly the same route (except Qatar Airways). I had requested for the Low Calorie Meal which was served much earlier than the rest of the passengers which is always an advantage. What I did not appreciate was that the airline had to add more fuel for the flight to AUH from DMM since it did not carry enough. There was a fog in Abu Dhabi and they were advised to do so, delaying the flight by an hour. We landed with an hour to spare for my connecting flight. After another hour of delays and waiting on the runway on the plane to CCJ it finally took off. I don't blame them for the delay since the fog was really bad.",,Solo Leisure,Economy Class,Dammam to Calicut via Abu Dhabi,January 2018,yes,Verified,7,3.0,4.0,4.0,3.0,4,4.0,
a horrid experience,S Sharma,2018-02-02,United States,"I have always been a loyal customer of Emirates but wanted to try Etihad just cause they were offering much lower fares from San Francisco to Hyderabad. The journey from SFO-HYD was decent. They have comparable cabin service to Emirates, but their aircraft are somewhat old. The problem was during the return leg HYD-SFO. Don't ever go to their HYD check-in counter with even a single KG of extra baggage. I had just 1.1 Kg of extra baggage in my combined check-in luggage of 46KGs. I should have accounted for the Finance Textbook I added at the end. But little did I know that it would cause me so much hassle. First I thought they would be lenient and just let it go, but the guy was at the counter was rude and wanted me to pay the extra fee. I agreed to pay the additional price for the extra KG, but supposedly they have a flat rate of $125US. The guy was hurrying me to pay the additional fee and threatened me to get out of the line and to come back after throwing my luggage. He even mocked me that I will get further 15KGs if I buy the extra baggage and I can fill my bags with the Karachi biscuits they were selling at the airport. Terrible service. I was upset by this treatment as I didn't pay so much for such service. I called the manager, who was nice, but he wasn't helpful either. I was ready to throw my luggage, but I was not going to pay after the humiliation. I read their luggage policy and decided to carry my Textbook as a personal item (since they are not allowing an additional laptop bag, but a personal item now which they don't tell you about). It was a horrid experience. I will always avoid Etihad after this incident and wouldn't recommend the airline to my worst enemy. Stick to Emirates if you can!",,Solo Leisure,Economy Class,San Francisco to Hyderabad,August 2017,no,Verified,1,3.0,2.0,3.0,1.0,3,4.0,3.0
poor service I received,S Deale,2018-02-02,United Kingdom,"Manila to Edinbugh via Abu Dhabi. The service of this airline is getting worse, seats are squeezed and food has no quality. I asked three of the flight attendants if they have toothbrush and toothpaste and no one comeback. If I had known that I am travelling with a budget airline type of service I should just pack my dental hygiene kit in my hand carry. I was surprised with the poor service I received.",,Solo Leisure,Economy Class,Manila to Edinbugh via Abu Dhabi,January 2018,no,Verified,3,1.0,1.0,1.0,4.0,2,4.0,
best long haul flight,Ruth Jack,2018-02-01,United Kingdom,"Dublin to Abu Dhabi. This was the best long haul flight I have been on. The main course of the meal was lovely, I couldn’t believe it was flight food! I got speaking to several flight attendants who were so friendly and informative.  WiFi was cheaper than that of some Gulf airlines and the entertainment was great. I will definitely fly with Etihad again.",,Business,Economy Class,Dublin to Abu Dhabi,January 2018,yes,Verified,10,5.0,5.0,5.0,5.0,5,5.0,5.0
Worst experience ever,C Hareesh,2018-02-01,Canada,"Toronto to Lahore via Abu Dhabi. Worst experience ever. I always fly with Etihad Airways but this would be the last time ever. There was no leg room, the flight was overbooked and not even cabin space.  Staff wasn’t even nice except for just one guy. Washrooms weren’t working, so for 2 washrooms there were lines.",,Solo Leisure,Economy Class,Toronto to Lahore via Abu Dhabi,January 2018,no,Verified,1,1.0,1.0,2.0,1.0,1,,
